state,x,y
Andhra Pradesh,-91.0 ,-193.0
Arunachal Pradesh,285.0,154.0
Assam,247.0,95.0
Bihar,71.0,80.0
Goa,-220.0,-188.0
Gujarat,-289.0,21.0
Haryana,-158.0,173.0
Himachal Pradesh,-132.0,249.0
Jammu and Kashmir,-175.0,330.0
Jharkhand,50.0,28.0
Karnataka,-182.0,-208.0
Kerala,-180.0,-310.0
Madhya Pradesh,-147.0,7.0
Maharashtra,-202.0 ,-86.0
Manipur,267.0,52.0
Meghalaya,183.0,72.0
Mizoram,245.0,10.0
Nagaland,313.0,78.0
Odisha,23.0,-54.0
Punjab,-190.0,207.0
Rajasthan,-274.0,95.0
Sikkim,132.0,157.0
Tamil Nadu,-118.0,-287.0
Telangana,-107.0,-127.0
Tripura,169.0,19.0
Uttarakhand,-34.0,212.0
Uttar Pradesh,-95.0,129.0
West Bengal,102.0,18.0



